code,location,registered,envelopes,valid,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
587290,Jihlávka,178,104,103,8,0,0,14,0,2,9,0,0,2,0,0,3,0,1,39,1,8,0,1,0,0,15,0
587303,Jindřichovice,83,62,62,16,0,0,5,0,1,12,0,0,2,0,0,2,0,1,8,1,10,0,0,0,0,4,0
587320,Kalhov,105,65,64,6,0,0,11,0,1,9,0,1,2,0,0,7,0,1,14,0,7,0,1,0,0,4,0
587338,Kaliště,138,97,97,8,0,0,9,1,1,9,0,1,3,0,0,13,0,1,34,0,3,0,0,0,0,10,4
587346,Kamenice,1 515,1 024,1 019,54,4,0,93,1,41,98,5,11,17,0,0,100,1,38,265,4,155,0,13,2,1,114,2
587362,Kamenná,158,100,100,5,0,0,11,1,1,16,2,0,0,0,0,6,0,1,32,0,4,0,0,0,1,20,0
587371,Klatovec,63,50,50,5,0,0,4,0,5,10,0,1,0,0,0,1,0,3,13,1,3,0,0,0,0,4,0
590843,Kněžice,1 116,657,651,71,0,1,50,0,38,59,6,5,4,3,0,36,0,7,180,1,104,0,6,0,1,77,2
587389,Knínice,153,106,106,13,0,0,14,0,2,17,0,0,0,1,0,17,0,4,16,0,13,0,0,0,0,9,0
587401,Kostelec,700,404,403,24,0,0,26,1,8,43,9,2,7,0,0,41,0,17,149,0,16,0,5,3,0,45,7
587419,Kostelní Myslová,49,35,35,1,0,2,2,0,2,3,0,0,0,0,0,15,0,4,1,0,3,0,0,0,1,1,0
587427,Kozlov,374,269,269,42,0,0,29,1,8,23,0,2,3,1,0,14,0,4,71,4,28,0,2,2,1,29,5
587435,Krahulčí,497,299,297,31,0,0,9,0,24,28,2,5,5,0,0,27,0,9,106,0,13,0,1,0,0,35,2
587443,Krasonice,168,109,109,1,0,0,9,0,4,20,0,1,2,0,0,17,0,10,20,0,20,0,0,1,0,4,0
587451,Lhotka,75,58,58,8,0,0,9,0,2,1,1,0,0,0,0,3,0,1,16,0,8,0,2,0,1,6,0
587478,Luka nad Jihlavou,2 229,1 453,1 430,133,1,0,139,2,25,106,33,20,14,1,3,132,3,56,335,2,194,0,14,6,2,194,15
587486,Malý Beranov,504,355,352,44,1,1,32,0,8,20,5,4,8,0,0,30,0,24,87,1,27,0,4,2,0,50,4
587494,Markvartice,165,122,122,11,0,0,11,0,2,8,0,2,0,0,0,6,0,2,48,0,16,1,0,2,0,13,0
587508,Měšín,197,132,132,19,0,0,8,1,1,11,2,1,1,0,0,5,0,6,43,1,5,0,7,0,2,19,0
587524,Milíčov,113,75,74,7,0,0,15,1,3,7,0,1,3,0,0,11,1,0,10,0,8,0,0,1,0,6,0
587532,Mirošov,148,87,84,6,0,0,4,0,3,15,1,0,6,0,0,9,0,1,17,0,9,0,0,0,0,13,0
587541,Mrákotín,726,423,420,30,0,3,23,0,14,50,2,4,1,2,0,35,0,11,133,0,59,0,1,1,2,47,2
587559,Mysletice,104,72,71,4,2,0,1,0,3,13,1,1,0,0,1,12,0,4,12,0,7,0,1,0,1,8,0
587567,Mysliboř,160,99,99,8,0,0,5,1,9,12,1,4,1,0,0,9,0,3,12,0,28,0,0,0,0,6,0
587575,Nadějov,152,105,105,2,0,0,9,0,0,8,0,1,1,0,0,7,1,0,39,0,28,0,0,0,1,6,2
587583,Nevcehle,187,104,103,9,0,0,13,0,9,9,3,1,0,0,0,8,0,1,24,0,11,0,1,0,0,14,0
587591,Nová Říše,676,455,454,29,0,1,35,0,26,42,2,11,4,0,0,66,0,8,90,1,80,0,2,1,0,55,1
587613,Olšany,54,38,38,8,0,0,0,0,0,2,1,0,0,0,0,1,0,1,4,1,19,0,0,0,0,1,0
587214,Olší,56,46,46,2,0,0,8,0,2,0,0,0,1,0,0,17,0,2,4,0,6,0,0,0,2,2,0
587621,Opatov,170,112,112,13,0,0,12,0,9,7,2,4,2,0,1,17,0,2,19,1,12,0,1,0,0,10,0
587630,Ořechov,58,39,39,1,0,0,6,0,3,2,0,0,0,0,0,8,0,1,9,0,4,0,0,0,1,4,0
587648,Otín,73,48,48,0,0,0,4,3,4,5,0,0,3,0,0,3,1,0,6,0,6,0,0,0,0,11,2
587656,Panenská Rozsíčka,111,84,84,13,0,0,7,0,3,2,3,1,0,0,0,3,0,4,19,0,16,0,0,0,0,10,3
587672,Panské Dubenky,99,64,64,0,0,0,12,0,3,16,1,1,0,0,0,3,0,2,14,0,1,0,2,0,0,9,0
587681,Pavlov,356,224,223,33,0,1,29,0,5,25,3,0,3,0,0,13,0,8,50,0,20,0,2,1,0,29,1
587702,Plandry,159,112,110,21,0,0,8,0,4,10,2,3,1,0,0,11,0,4,13,5,6,0,1,0,1,19,1
587711,Polná,4 054,2 598,2 586,241,6,0,225,3,89,225,41,16,35,3,7,271,6,104,730,7,209,0,15,3,5,327,18
587745,Puklice,672,392,391,37,1,0,38,0,9,35,12,6,6,2,1,25,0,6,111,0,28,0,2,2,5,61,4
587761,Radkov,207,128,127,7,0,0,2,2,3,6,3,2,1,4,1,27,0,2,30,0,23,0,1,1,0,12,0
587176,Rančířov,314,221,221,24,0,0,11,1,8,6,1,5,3,1,0,35,1,23,66,2,7,0,4,0,1,21,1
587788,Rantířov,352,249,248,34,0,0,23,0,8,11,4,1,4,1,0,20,0,31,62,0,12,0,1,0,1,33,2
587796,Rohozná,313,238,237,20,0,0,24,0,6,43,10,2,1,0,0,20,0,6,70,0,8,0,0,1,1,25,0
587800,Rozseč,149,94,92,12,0,0,5,0,4,13,1,1,0,0,0,4,0,8,7,1,21,0,0,0,0,13,2
587818,Růžená,279,194,194,16,0,2,15,0,14,5,1,1,0,0,0,21,0,3,60,0,40,0,3,0,0,13,0
587826,Rybné,93,63,63,7,0,0,10,0,3,3,1,0,1,0,0,1,0,5,14,0,8,0,0,0,1,9,0
